userid,times,money,std_money,std_times,type
1000000049,7,589,705.2399999999998,6.6400000000000015,大众型用户
1000000050,7,568,705.2399999999998,6.6400000000000015,大众型用户
1000000051,6,597,705.2399999999998,6.6400000000000015,低价值型用户
1000000052,7,766,705.2399999999998,6.6400000000000015,高价值型用户
1000000053,7,694,705.2399999999998,6.6400000000000015,大众型用户
1000000054,6,459,705.2399999999998,6.6400000000000015,低价值型用户
1000000055,7,788,705.2399999999998,6.6400000000000015,高价值型用户
1000000056,7,714,705.2399999999998,6.6400000000000015,高价值型用户
1000000057,7,711,705.2399999999998,6.6400000000000015,高价值型用户
1000000058,7,685,705.2399999999998,6.6400000000000015,大众型用户
1000000059,8,740,705.2399999999998,6.6400000000000015,高价值型用户
1000000060,7,730,705.2399999999998,6.6400000000000015,高价值型用户
1000000061,7,683,705.2399999999998,6.6400000000000015,大众型用户
1000000062,7,773,705.2399999999998,6.6400000000000015,高价值型用户
1000000063,7,628,705.2399999999998,6.6400000000000015,大众型用户
1000000064,6,520,705.2399999999998,6.6400000000000015,低价值型用户
1000000065,7,734,705.2399999999998,6.6400000000000015,高价值型用户
1000000066,6,699,705.2399999999998,6.6400000000000015,低价值型用户
1000000067,7,689,705.2399999999998,6.6400000000000015,大众型用户
1000000068,7,711,705.2399999999998,6.6400000000000015,高价值型用户
1000000069,6,548,705.2399999999998,6.6400000000000015,低价值型用户
1000000070,8,667,705.2399999999998,6.6400000000000015,大众型用户
1000000071,7,742,705.2399999999998,6.6400000000000015,高价值型用户
1000000072,7,798,705.2399999999998,6.6400000000000015,高价值型用户
1000000073,4,404,705.2399999999998,6.6400000000000015,低价值型用户
1000000074,7,636,705.2399999999998,6.6400000000000015,大众型用户
1000000075,7,629,705.2399999999998,6.6400000000000015,大众型用户
1000000076,7,725,705.2399999999998,6.6400000000000015,高价值型用户
1000000077,7,720,705.2399999999998,6.6400000000000015,高价值型用户
1000000078,5,592,705.2399999999998,6.6400000000000015,低价值型用户
1000000079,6,597,705.2399999999998,6.6400000000000015,低价值型用户
1000000080,7,603,705.2399999999998,6.6400000000000015,大众型用户
1000000081,7,680,705.2399999999998,6.6400000000000015,大众型用户
1000000082,5,508,705.2399999999998,6.6400000000000015,低价值型用户
1000000083,7,748,705.2399999999998,6.6400000000000015,高价值型用户
1000000084,7,1289,705.2399999999998,6.6400000000000015,高价值型用户
1000000085,7,569,705.2399999999998,6.6400000000000015,大众型用户
1000000086,4,325,705.2399999999998,6.6400000000000015,低价值型用户
1000000087,7,651,705.2399999999998,6.6400000000000015,大众型用户
1000000088,7,538,705.2399999999998,6.6400000000000015,大众型用户
1000000089,5,388,705.2399999999998,6.6400000000000015,低价值型用户
1000000090,6,612,705.2399999999998,6.6400000000000015,低价值型用户
1000000091,7,761,705.2399999999998,6.6400000000000015,高价值型用户
1000000092,3,254,705.2399999999998,6.6400000000000015,低价值型用户
1000000093,5,463,705.2399999999998,6.6400000000000015,低价值型用户
1000000094,6,626,705.2399999999998,6.6400000000000015,低价值型用户
1000000095,7,999,705.2399999999998,6.6400000000000015,高价值型用户
1000000096,7,916,705.2399999999998,6.6400000000000015,高价值型用户
1000000097,6,649,705.2399999999998,6.6400000000000015,低价值型用户
1000000098,6,735,705.2399999999998,6.6400000000000015,潜力型用户
1000000099,6,853,705.2399999999998,6.6400000000000015,潜力型用户
1000000100,7,943,705.2399999999998,6.6400000000000015,高价值型用户
